,Combinação de Produtos,Qtd. Vendas
0," Trufa de Ganache ao Leite | 11g,  Trufa Ganache Intensa | 11g",320
1,"Trufa de Doce de Leite | 11g,  Quebra-Quebra de Banana e Castanha de Caju | 200g",161
2,"Quebra-Quebra Limão com Tapioca | 200g,  Quebra-Quebra de Banana e Castanha de Caju | 200g",151
3,"Quebra-Quebra de Frutas Tropicais | 200g,  Quebra-Quebra de Banana e Castanha de Caju | 200g",114
4,"Quebra-Quebra de Banana e Castanha de Caju | 200g,  Quebra-Quebra de Cupuaçu com Castanha de Caju | 200g",107
